code,offense_type,offense_class,description
3437,F,N/A,Sell/Deliver Heroin
3438,F,N/A,Conspire Sell/Deliver Heroin
3442,F,G,Sell Heroin
3457,F,H,Deliver Heroin
3482,F,G,Conspire Sell Heroin
3492,F,H,Conspire Deliver Heroin
3531,F,N/A,Trafficking in (opium or) Heroin
3535,F,N/A,Conspire to Traffic in (opium or) Heroin
3563,F,H,Sell or Deliver Heroin
3564,F,H,Sell Heroin
3565,F,H,PWIMSD Heroin
3566,F,H,P/W/I/S Heroin
3567,F,H,P/W/I/D Heroin
3568,F,I,Possession of Heroin
3569,F,H,Conspire to Sell or Deliver Heroin
