County,Active,Community,Intermediate
ALAMANCE,27.0,81.0,24.0
ALEXANDER,1.0,4.0,2.0
ANSON,4.0,8.0,4.0
ASHE,,1.0,
AVERY,,1.0,1.0
BEAUFORT,3.0,7.0,9.0
BERTIE,2.0,5.0,
BLADEN,1.0,6.0,3.0
BRUNSWICK,11.0,51.0,13.0
BUNCOMBE,27.0,10.0,10.0
BURKE,6.0,15.0,17.0
CABARRUS,31.0,81.0,50.0
CALDWELL,5.0,3.0,5.0
CAMDEN,,1.0,
CARTERET,2.0,19.0,
CASWELL,1.0,,9.0
CATAWBA,20.0,36.0,47.0
CHATHAM,2.0,6.0,1.0
CHOWAN,,2.0,2.0
CLEVELAND,12.0,20.0,28.0
COLUMBUS,7.0,7.0,4.0
CRAVEN,8.0,42.0,5.0
CUMBERLAND,11.0,20.0,18.0
CURRITUCK,1.0,4.0,2.0
DARE,8.0,18.0,3.0
DAVIDSON,17.0,30.0,21.0
DAVIE,1.0,2.0,3.0
DUPLIN,5.0,26.0,3.0
DURHAM,6.0,21.0,2.0
EDGECOMBE,4.0,18.0,14.0
FORSYTH,150.0,282.0,71.0
FRANKLIN,2.0,12.0,1.0
GASTON,17.0,31.0,23.0
GATES,1.0,4.0,
GRANVILLE,3.0,8.0,9.0
GREENE,1.0,4.0,
GUILFORD,41.0,65.0,89.0
HALIFAX,8.0,20.0,2.0
HARNETT,7.0,15.0,5.0
HAYWOOD,2.0,3.0,2.0
HENDERSON,14.0,21.0,7.0
HERTFORD,2.0,9.0,2.0
HOKE,,9.0,9.0
HYDE,,3.0,2.0
IREDELL,9.0,19.0,23.0
JACKSON,,3.0,1.0
JOHNSTON,24.0,92.0,28.0
JONES,1.0,10.0,
LEE,6.0,6.0,8.0
LENOIR,12.0,14.0,12.0
LINCOLN,8.0,7.0,7.0
MADISON,1.0,1.0,2.0
MARTIN,1.0,1.0,2.0
MCDOWELL,1.0,4.0,
MECKLENBURG,75.0,75.0,82.0
MONTGOMERY,5.0,8.0,2.0
MOORE,8.0,28.0,13.0
NASH,8.0,21.0,11.0
NEW HANOVER,19.0,27.0,114.0
NORTHAMPTON,,3.0,
ONSLOW,10.0,29.0,11.0
ORANGE,3.0,3.0,1.0
PAMLICO,1.0,6.0,
PASQUOTANK,2.0,16.0,2.0
PENDER,2.0,12.0,7.0
PERQUIMANS,3.0,2.0,4.0
PERSON,,12.0,2.0
PITT,16.0,43.0,22.0
POLK,1.0,5.0,
RANDOLPH,14.0,29.0,22.0
RICHMOND,4.0,14.0,2.0
ROBESON,3.0,14.0,13.0
ROCKINGHAM,15.0,23.0,28.0
ROWAN,16.0,32.0,16.0
RUTHERFORD,4.0,19.0,3.0
SAMPSON,13.0,27.0,5.0
SCOTLAND,3.0,4.0,2.0
STANLY,5.0,10.0,6.0
STOKES,7.0,16.0,
SURRY,11.0,7.0,5.0
TRANSYLVANIA,2.0,4.0,2.0
TYRRELL,,5.0,
UNION,7.0,37.0,16.0
VANCE,3.0,3.0,4.0
WAKE,140.0,206.0,60.0
WARREN,,3.0,
WASHINGTON,2.0,1.0,
WATAUGA,,3.0,1.0
WAYNE,2.0,6.0,5.0
WILKES,4.0,16.0,6.0
WILSON,8.0,11.0,9.0
YADKIN,4.0,6.0,5.0
YANCEY,,,1.0
